Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,6.54
CHEMBL5749173,Clc1cccc(-c2nc3c(c(Nc4ccc(Cc5nnn[nH]5)cc4)n2)CCC3)c1,
CHEMBL158616,COc1ccc(C(C)Cn2ccnc2NC#N)cc1OCCC1Cc2ccccc2C1,7.17
CHEMBL349333,COc1ccc(C(C)(O)Cn2ccnc2O)cc1OC1CCOC1,
CHEMBL5855995,Cc1cc(C#N)c(F)cc1-c1c(C(=O)NC2CC2)nn2c1OC[C@H](F)C2,5.51
CHEMBL6024767,O=C(NC1CC1)c1nn2c(c1-c1ccc(Cl)cc1)OC[C@@H](F)C2,7.08
CHEMBL91551,COc1ccc(C2=NOC(C)(C(=O)NO)C2)cc1OC1CCCC1,7.96
CHEMBL5881179,N#Cc1ccc(-c2c(C(=O)NC3CC3)nn3c2OCCC3)cc1F,6.01
CHEMBL1946935,COc1ccc(C2=NNC(=O)CC2C)c2ccc(C(F)(F)F)nc12,6.46
CHEMBL6048226,O=C(N[C@@H]1C[C@@H]1F)c1nc2cccnn2c1-c1ccc(Cl)cc1F,7.45
CHEMBL5844033,O=C(Nc1cn[nH]c1)c1nc2cccnn2c1-c1ccc(Cl)c(F)c1,8.29
CHEMBL567470,CCCOCCn1c(=O)c(N[C@H]2CC[C@H](O)CC2)nc2cnc(-c3ccc(OC)nc3)cc21,6.54
CHEMBL5897587,N#Cc1cc(-n2c(C(=O)NC3CC3)nc3cccnc32)ccc1F,7.06
CHEMBL3315271,CCc1nc(Nc2ccc(C#N)cc2)nc(-c2cccc(Cl)c2)n1,
CHEMBL4538753,CCc1cc(Cc2ccc(CC(=O)O)cc2)nc(-c2cccc(Cl)c2)n1,
CHEMBL5985228,N#CCc1ccc(Nc2cc(-c3cccc(Cl)c3)nc3c2CCC3)cc1,
CHEMBL5909195,O=C(O)COc1ccc(Nc2cc(-c3cccc(Cl)c3)nc3c2CCC3)cc1,
CHEMBL6010283,NC(C(=O)O)c1ccc(Nc2nc(-c3ccc(Cl)s3)nc3c2CCC3)cc1,
CHEMBL3315251,O=C(O)Cc1ccc(Nc2nc(-c3cccc(Cl)c3)nc(C3CC3)n2)cc1,
CHEMBL206968,Cc1cc(C(=O)N(Cc2cccc(-c3cc(C(C)(C)C#N)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)no1,7.52
CHEMBL207775,CC(C)(c1cc(-c2cccc(C(=O)Nc3ccccc3)c2)c2ncccc2c1)S(C)(=O)=O,5.16
CHEMBL379768,CC(c1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)N(C(=O)C1CC1)c1ccc(S(C)(=O)=O)cc1,9.22
CHEMBL383225,CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)c3ccccc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,10
CHEMBL603196,Cc1cc(S(C)(=O)=O)cc2c1NNC(C(N)=O)=C2Nc1cccc(C#N)c1,
CHEMBL345877,COc1ccc(C(C)Cn2ccnc2NC#N)cc1OCC1CC1,7.25
CHEMBL257521,COc1ccc(/C=C2\SC(=S)N(C)C2=O)cc1OC1CCCC1,5.54
CHEMBL160185,COc1ccc(C(F)Cn2ccnc2O)cc1OC1Cc2ccccc2C1,7.61
CHEMBL569624,,
CHEMBL3315267,O=C1CCC(NC2=NC(C3CC3)NC(c3cccc(Cl)c3)=N2)CN1,6.87
